Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,121464666,1555.9804275639754,3173093,40.64779302023736,535860,2684093,34.38363032885196,58700,0.7519557259393067,9868,
United States of America,Americas,29317562,8857.2,377313,113.99,56790,532971,161.02,7473,2.26,1116,Community transmission
Brazil,Americas,11693838,5501.44,491533,231.24,90303,284775,133.97,14119,6.64,2648,Community transmission
India,South-East Asia,11514331,834.37,205485,14.89,39726,159370,11.55,1064,0.08,154,Clusters of cases
Russian Federation,Europe,4437938,3041.05,67321,46.13,9699,94267,64.6,3047,2.09,443,Clusters of cases
The United Kingdom,Europe,4280886,6305.99,39205,57.75,6303,125926,185.5,758,1.12,95,Community transmission
France,Europe,4111105,6298.27,189492,290.3,34936,91162,139.66,1820,2.79,269,Community transmission
Italy,Europe,3306711,5469.09,157694,260.82,24901,103855,171.77,2671,4.42,423,Clusters of cases
Spain,Europe,3206116,6857.3,23044,49.29,0,72793,155.69,328,0.7,0,Community transmission
Turkey,Europe,2950603,3498.5,114614,135.9,20049,29777,35.31,487,0.58,81,Community transmission
Germany,Europe,2629750,3138.73,83969,100.22,17482,74358,88.75,1296,1.55,226,Community transmission
Colombia,Americas,2314154,4548,28194,55.41,4554,61498,120.86,725,1.42,130,Community transmission
Argentina,Americas,2218425,4908.48,40527,89.67,8304,54231,119.99,738,1.63,195,Community transmission
Mexico,Americas,2175462,1687.28,30904,23.97,6455,195908,151.95,3420,2.65,789,Community transmission
Poland,Europe,2010244,5311.56,141947,375.06,25996,48807,128.96,2083,5.5,419,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1778645,2117.61,55175,65.69,7530,61581,73.32,565,0.67,89,Community transmission
South Africa,Africa,1533961,2586.4,8313,14.02,1464,51724,87.21,614,1.04,90,Community transmission
Ukraine,Europe,1519926,3475.41,81458,186.26,15850,29515,67.49,1600,3.66,262,Community transmission
Czechia,Europe,1449696,13537.2,72698,678.85,10677,24331,227.2,1466,13.69,214,Community transmission
Indonesia,South-East Asia,1443853,527.87,40131,14.67,6570,39142,14.31,1093,0.4,227,Community transmission
Peru,Americas,1435598,4354.01,48141,146.01,7994,49523,150.2,1200,3.64,193,Community transmission
Netherlands,Europe,1179612,6884.28,40992,239.23,6187,16198,94.53,203,1.18,33,Community transmission
Canada,Americas,919239,2435.58,22500,59.62,3371,22554,59.76,219,0.58,35,Community transmission
Chile,Americas,911469,4768.04,37957,198.56,6257,21988,115.02,626,3.27,172,Community transmission
Romania,Europe,881159,4580.38,35807,186.13,6174,21877,113.72,625,3.25,90,Community transmission
Israel,Europe,824716,9528.19,12337,142.53,1517,6064,70.06,109,1.26,12,Community transmission
Belgium,Europe,822801,7099.46,19024,164.15,1,22624,195.21,143,1.23,4,Community transmission
Portugal,Europe,816055,8003.12,3480,34.13,485,16743,164.2,108,1.06,21,Clusters of cases
Iraq,Eastern Mediterranean,779458,1937.87,33816,84.07,5443,13896,34.55,225,0.56,36,Community transmission
Sweden,Europe,738537,7312.78,31285,309.78,6442,13236,131.06,29,0.29,1,Community transmission
Philippines,Western Pacific,640984,584.94,33936,30.97,5286,12887,11.76,279,0.25,21,Community transmission
Pakistan,Eastern Mediterranean,615810,278.78,18313,8.29,3495,13717,6.21,340,0.15,61,Community transmission
Switzerland,Europe,576160,6657.25,7733,89.35,3,9438,109.05,48,0.55,0,Community transmission
Bangladesh,South-East Asia,564939,343.03,10783,6.55,2187,8624,5.24,122,0.07,16,Community transmission
Hungary,Europe,549839,5691.71,51656,534.72,10759,17841,184.68,1214,12.57,213,Community transmission
Serbia,Europe,536904,7709.97,33613,482.68,5346,4840,69.5,196,2.81,30,Community transmission
Jordan,Eastern Mediterranean,514107,5038.72,56956,558.22,9192,5627,55.15,458,4.49,74,Community transmission
Austria,Europe,501387,5567.01,19714,218.89,3505,8770,97.38,158,1.75,23,Community transmission
Morocco,Eastern Mediterranean,490575,1329.09,2825,7.65,487,8748,23.7,36,0.1,3,Clusters of cases
Japan,Western Pacific,452702,357.93,8413,6.65,1516,8758,6.92,307,0.24,41,Clusters of cases
United Arab Emirates,Eastern Mediterranean,434465,4392.79,14469,146.29,2101,1424,14.4,55,0.56,10,Community transmission
Lebanon,Eastern Mediterranean,430734,6310.71,21825,319.76,3757,5609,82.18,379,5.55,73,Community transmission
Saudi Arabia,Eastern Mediterranean,383880,1102.66,2532,7.27,381,6591,18.93,40,0.11,6,Sporadic cases
Panama,Americas,349020,8088.97,2719,63.02,440,6018,139.47,61,1.41,9,Community transmission
Slovakia,Europe,346149,6340.14,12277,224.87,1679,8894,162.9,548,10.04,80,Clusters of cases
Malaysia,Western Pacific,328466,1014.85,9102,28.12,1213,1223,3.78,23,0.07,3,Clusters of cases
Ecuador,Americas,307429,1742.49,9472,53.69,1831,16333,92.57,205,1.16,33,Community transmission
Belarus,Europe,306524,3243.87,7564,80.05,1254,2130,22.54,60,0.63,9,Community transmission
Bulgaria,Europe,295777,4256.74,23077,332.12,4008,11817,170.07,723,10.41,102,Clusters of cases
Kazakhstan,Europe,277906,1480.06,5486,29.22,0,3511,18.7,55,0.29,0,Clusters of cases
Georgia,Europe,276796,6938.69,2419,60.64,360,3683,92.33,49,1.23,9,Community transmission
Nepal,South-East Asia,275625,945.97,555,1.9,107,3015,10.35,3,0.01,1,Clusters of cases
Bolivia (Plurinational State of),Americas,262056,2244.97,5594,47.92,1068,12015,102.93,131,1.12,18,Community transmission
Croatia,Europe,255619,6226.61,5958,145.13,1112,5743,139.89,96,2.34,17,Community transmission
Dominican Republic,Americas,247979,2285.96,3056,28.17,615,3257,30.02,53,0.49,9,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,245790,4818.08,15434,302.54,2311,2608,51.12,163,3.2,18,Community transmission
Tunisia,Eastern Mediterranean,243935,2063.99,3958,33.49,496,8490,71.84,177,1.5,27,Community transmission
Azerbaijan,Europe,243424,2400.83,5041,49.72,933,3314,32.69,52,0.51,7,Clusters of cases
Greece,Europe,230317,2209.69,15656,150.21,3070,7297,70.01,360,3.45,45,Community transmission
Ireland,Europe,228796,4633.57,3617,73.25,581,4566,92.47,57,1.15,0,Community transmission
Denmark,Europe,223415,3857.17,4755,82.09,786,2397,41.38,13,0.22,1,Community transmission
Kuwait,Eastern Mediterranean,215067,5036.02,9174,214.82,1394,1202,28.15,54,1.26,8,Community transmission
Republic of Moldova,Europe,210725,5223.77,10601,262.79,1797,4472,110.86,252,6.25,36,Community transmission
Costa Rica,Americas,210447,4131.18,2203,43.25,0,2886,56.65,34,0.67,0,Community transmission
Lithuania,Europe,208048,7642.39,3692,135.62,579,3452,126.81,79,2.9,10,Community transmission
Slovenia,Europe,203545,9790.82,5308,255.32,972,4239,203.9,19,0.91,1,Clusters of cases
Egypt,Eastern Mediterranean,193482,189.07,4482,4.38,642,11472,11.21,303,0.3,41,Clusters of cases
